,0,1,2,3,addr
0,__INPUT__,SIM,NAM,TDIS6,__INPUT__/SIM/NAM/TDIS6
1,__INPUT__,SIM,NAM,MTYPE,__INPUT__/SIM/NAM/MTYPE
2,__INPUT__,SIM,NAM,MFNAME,__INPUT__/SIM/NAM/MFNAME
3,__INPUT__,SIM,NAM,MNAME,__INPUT__/SIM/NAM/MNAME
4,__INPUT__,SIM,NAM,EXGTYPE,__INPUT__/SIM/NAM/EXGTYPE
5,__INPUT__,SIM,NAM,EXGFILE,__INPUT__/SIM/NAM/EXGFILE
6,__INPUT__,SIM,NAM,EXGMNAMEA,__INPUT__/SIM/NAM/EXGMNAMEA
7,__INPUT__,SIM,NAM,EXGMNAMEB,__INPUT__/SIM/NAM/EXGMNAMEB
8,__INPUT__,SIM,NAM,SOLUTIONGROUPNUM,__INPUT__/SIM/NAM/SOLUTIONGROUPNUM
9,__INPUT__,SIM,NAM,SLNTYPE,__INPUT__/SIM/NAM/SLNTYPE
10,__INPUT__,SIM,NAM,SLNFNAME,__INPUT__/SIM/NAM/SLNFNAME
11,__INPUT__,SIM,NAM,SLNMNAMES,__INPUT__/SIM/NAM/SLNMNAMES
12,__INPUT__,SIM,NAM,CONTINUE,__INPUT__/SIM/NAM/CONTINUE
13,__INPUT__,SIM,NAM,NOCHECK,__INPUT__/SIM/NAM/NOCHECK
14,__INPUT__,SIM,NAM,PRMEM,__INPUT__/SIM/NAM/PRMEM
15,__INPUT__,SIM,NAM,MAXERRORS,__INPUT__/SIM/NAM/MAXERRORS
16,__INPUT__,SIM,NAM,PRINT_INPUT,__INPUT__/SIM/NAM/PRINT_INPUT
17,__INPUT__,SIM,NAM,MXITER,__INPUT__/SIM/NAM/MXITER
18,__INPUT__,SIM,NUMMODELS,,__INPUT__/SIM/NUMMODELS
19,__INPUT__,SIM,NUMEXCHANGES,,__INPUT__/SIM/NUMEXCHANGES
20,__INPUT__,GWF,NAM,SAVE_FLOWS,__INPUT__/GWF/NAM/SAVE_FLOWS
21,__INPUT__,GWF,NAM,FTYPE,__INPUT__/GWF/NAM/FTYPE
22,__INPUT__,GWF,NAM,FNAME,__INPUT__/GWF/NAM/FNAME
23,__INPUT__,GWF,NAM,PNAME,__INPUT__/GWF/NAM/PNAME
24,__INPUT__,GWF,PKGTYPES,,__INPUT__/GWF/PKGTYPES
25,__INPUT__,GWF,PKGNAMES,,__INPUT__/GWF/PKGNAMES
26,__INPUT__,GWF,MEMPATHS,,__INPUT__/GWF/MEMPATHS
27,__INPUT__,GWF,INUNITS,,__INPUT__/GWF/INUNITS
28,__INPUT__,GWF,DIS,INPUT_FNAME,__INPUT__/GWF/DIS/INPUT_FNAME
29,__INPUT__,GWF,NPF,INPUT_FNAME,__INPUT__/GWF/NPF/INPUT_FNAME
30,__INPUT__,GWF,CHD,INPUT_FNAME,__INPUT__/GWF/CHD/INPUT_FNAME
31,__INPUT__,GWF,WEL,INPUT_FNAME,__INPUT__/GWF/WEL/INPUT_FNAME
32,__INPUT__,GWF,DIS,LENGTH_UNITS,__INPUT__/GWF/DIS/LENGTH_UNITS
33,__INPUT__,GWF,DIS,NLAY,__INPUT__/GWF/DIS/NLAY
34,__INPUT__,GWF,DIS,NROW,__INPUT__/GWF/DIS/NROW
35,__INPUT__,GWF,DIS,NCOL,__INPUT__/GWF/DIS/NCOL
36,__INPUT__,GWF,MODEL_SHAPE,,__INPUT__/GWF/MODEL_SHAPE
37,__INPUT__,GWF,NCELLDIM,,__INPUT__/GWF/NCELLDIM
38,__INPUT__,GWF,DIS,DELR,__INPUT__/GWF/DIS/DELR
39,__INPUT__,GWF,DIS,DELC,__INPUT__/GWF/DIS/DELC
40,__INPUT__,GWF,DIS,TOP,__INPUT__/GWF/DIS/TOP
41,__INPUT__,GWF,DIS,BOTM,__INPUT__/GWF/DIS/BOTM
42,__INPUT__,GWF,DIS,IDOMAIN,__INPUT__/GWF/DIS/IDOMAIN
43,__INPUT__,GWF,NPF,IPAKCB,__INPUT__/GWF/NPF/IPAKCB
44,__INPUT__,GWF,NPF,ISAVSPDIS,__INPUT__/GWF/NPF/ISAVSPDIS
45,__INPUT__,GWF,NPF,ISAVSAT,__INPUT__/GWF/NPF/ISAVSAT
46,__INPUT__,GWF,NPF,ICELLTYPE,__INPUT__/GWF/NPF/ICELLTYPE
47,__INPUT__,GWF,NPF,K,__INPUT__/GWF/NPF/K
48,__INPUT__,GWF,NPF,K33,__INPUT__/GWF/NPF/K33
49,__INPUT__,GWF,WEL,NAUX,__INPUT__/GWF/WEL/NAUX
50,__INPUT__,GWF,WEL,AUXILIARY,__INPUT__/GWF/WEL/AUXILIARY
51,__INPUT__,GWF,WEL,MAXBOUND,__INPUT__/GWF/WEL/MAXBOUND
52,__INPUT__,GWF,WEL,IPER,__INPUT__/GWF/WEL/IPER
53,__INPUT__,GWF,WEL,IONPER,__INPUT__/GWF/WEL/IONPER
54,__INPUT__,GWF,WEL,NBOUND,__INPUT__/GWF/WEL/NBOUND
55,__INPUT__,GWF,WEL,NCPL,__INPUT__/GWF/WEL/NCPL
56,__INPUT__,GWF,WEL,CELLID,__INPUT__/GWF/WEL/CELLID
57,__INPUT__,GWF,WEL,Q,__INPUT__/GWF/WEL/Q
58,__INPUT__,GWF,WEL,AUXVAR,__INPUT__/GWF/WEL/AUXVAR
59,__INPUT__,GWF,WEL,BOUNDNAME,__INPUT__/GWF/WEL/BOUNDNAME
60,__INPUT__,GWF,CHD,NAUX,__INPUT__/GWF/CHD/NAUX
61,__INPUT__,GWF,CHD,MAXBOUND,__INPUT__/GWF/CHD/MAXBOUND
62,__INPUT__,GWF,CHD,IPER,__INPUT__/GWF/CHD/IPER
63,__INPUT__,GWF,CHD,IONPER,__INPUT__/GWF/CHD/IONPER
64,__INPUT__,GWF,CHD,NBOUND,__INPUT__/GWF/CHD/NBOUND
